dataset_id,adjustment,score_method,program_left,lineage_left,program_right,lineage_right,n_donors,spearman_rho,permutation_p_two_sided,fdr_within_dataset_method_adjustment
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,17,0.02696078431372549,0.9219078092190781,0.9619907574459945
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,17,0.32352941176470595,0.2014798520147985,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,17,0.18137254901960786,0.4831516848315168,0.7454444428974825
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,17,0.22549019607843138,0.38136186381361864,0.7040526716559113
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,17,0.13480392156862747,0.6041395860413958,0.7982498453451358
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,17,0.06862745098039216,0.7912208779122087,0.9142162706806243
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,17,-0.002450980392156863,0.9952004799520048,0.9968003199680032
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,17,0.29901960784313725,0.23507649235076492,0.6001952996189742
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,17,-0.1985294117647059,0.4393560643935606,0.7444325989936217
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,17,0.37254901960784315,0.1456854314568543,0.5463203679632036
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,17,-0.04656862745098039,0.8614138586141386,0.9392574256087904
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,17,-0.10049019607843139,0.7016298370162983,0.858580808585808
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,17,-0.04411764705882353,0.8688131186881312,0.9392574256087904
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,17,0.5245098039215687,0.031796820317968204,0.321967803219678
