dataset_id,analysis_set,lineage,program_id,score_method,histology_axis,n_donors,n_levels,spearman_rho,permutation_p_two_sided,permutations,fdr_within_set_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,fibrosis,24,5,-0.0744244973725855,0.7194280571942806,10000,0.8087191280871912
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,steatosis,22,3,0.2509700526632479,0.2534746525347465,10000,0.2975702429757024
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,ballooning,22,3,-0.0778879414855102,0.7273272672732727,10000,0.7273272672732727
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,inflammation,22,3,0.1229624214016292,0.5829417058294171,10000,0.6995300469953005
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,fibrosis,24,5,-0.3254950909186572,0.1220877912208779,10000,0.1831316868313168
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,steatosis,22,3,0.0955782755842836,0.6675332466753324,10000,0.6675332466753324
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,ballooning,22,3,-0.3128719005434903,0.155984401559844,10000,0.2686231376862313
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,inflammation,22,3,0.0535481512555482,0.8158184181581842,10000,0.894010598940106
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,fibrosis,24,5,0.1219485740080919,0.5665433456654334,10000,0.8087191280871912
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,steatosis,22,3,0.3101669201219009,0.158984101589841,10000,0.2384761523847615
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,ballooning,22,3,0.2877893431159531,0.1930806919308069,10000,0.3376162383761624
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,inflammation,22,3,0.0542092395426537,0.8094190580941906,10000,0.8094190580941906
