lineage,gene_symbol,program_recurrence,measured_gse202379,measured_gse244832,gse202379_n_donors,gse202379_detection_rate,gse202379_stage_spearman_rho,gse244832_n_control,gse244832_n_case,gse244832_detection_rate,gse244832_mash_vs_normal_hedges_g,passes_measurement,passes_discovery_effects,stage_effect_percentile,mash_effect_percentile,mean_discovery_effect_percentile
mesenchymal_hsc_myofibroblast,RPL36,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPL37,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPL39,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPLP0,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPLP1,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS12,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS15,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS15A,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS17,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS18,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS23,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS24,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS28,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPS3,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPSA,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,S100A10,3,True,True,24.0,0.7083333333333334,0.2369358716029647,5.0,9.0,1.0,0.0974053959073748,True,False,0.6976744186046512,0.3372093023255814,0.5174418604651163
mesenchymal_hsc_myofibroblast,S100A11,2,True,True,24.0,0.5416666666666666,0.0396022042068786,5.0,9.0,1.0,1.3637803873302177,True,False,0.4302325581395348,0.9418604651162792,0.686046511627907
mesenchymal_hsc_myofibroblast,S100A13,2,True,True,24.0,0.9583333333333334,0.1237419353905639,5.0,9.0,1.0,1.343238686914522,True,True,0.5813953488372093,0.9302325581395348,0.7558139534883721
mesenchymal_hsc_myofibroblast,S100A16,2,True,True,24.0,0.625,-0.082892645178219,5.0,9.0,1.0,0.0614521918112228,True,False,0.2441860465116279,0.3023255813953488,0.2732558139534883
mesenchymal_hsc_myofibroblast,S100A6,2,True,True,24.0,0.5833333333333334,0.4062440790996696,5.0,9.0,0.9285714285714286,0.8314484285736375,True,True,0.9069767441860463,0.7558139534883721,0.8313953488372092
mesenchymal_hsc_myofibroblast,SERPINF1,2,True,True,24.0,0.9583333333333334,0.5326283305941665,5.0,9.0,1.0,0.7009846059425057,True,True,0.9651162790697676,0.7093023255813954,0.8372093023255814
mesenchymal_hsc_myofibroblast,SERPING1,2,True,True,24.0,1.0,0.4644805980602327,5.0,9.0,1.0,0.2765309562348204,True,True,0.9302325581395348,0.5,0.7151162790697674
mesenchymal_hsc_myofibroblast,SPARCL1,2,True,True,24.0,1.0,-0.0869780270498891,5.0,9.0,1.0,0.2546638307103894,True,False,0.2325581395348837,0.4883720930232558,0.3604651162790697
mesenchymal_hsc_myofibroblast,SSR2,2,True,True,24.0,0.9583333333333334,0.0520074800916862,5.0,9.0,1.0,0.882382316806684,True,False,0.4651162790697674,0.7790697674418605,0.622093023255814
